model,year,price_usd,battery_capacity_kwh,range_miles,charging_speed_kw,acceleration_0_60_mph,top_speed_mph,horsepower,torque_nm,seating_capacity,cargo_volume_cubic_ft,weight_kg,safety_rating,autopilot_level,annual_sales_units,customer_rating,warranty_years,range_efficiency,price_per_range_mile,power_to_weight,torque_to_weight,battery_to_weight,vehicle_age,drive_type_FWD,drive_type_RWD,body_type_Hatchback,body_type_SUV,body_type_Sedan,body_type_Truck,body_type_Van,country_of_origin_Germany,country_of_origin_Japan,country_of_origin_South Korea,country_of_origin_Sweden,country_of_origin_US,market_segment_Luxury,market_segment_Mid-range,market_segment_Premium,brand_BMW,brand_BYD,brand_Fisker,brand_Ford,brand_GM/Chevrolet,brand_Honda,brand_Hyundai,brand_Kia,brand_Lucid,brand_Mercedes,brand_NIO,brand_Polestar,brand_Porsche,brand_Rivian,brand_Tesla,brand_Toyota,brand_Volkswagen,brand_Volvo,brand_Xiaomi,variant_Long Range,variant_Performance,variant_Premium,variant_Standard
e-tron GT,2025,67634.79,79.9,278.0,90.2,5.56,167.0,396.0,388.0,5,24.9,1712.0,4,2,62437,3.52,8,3.4793491864831037,243.29061151079134,0.23130841121495327,0.2266355140186916,0.046670560747663556,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
R2,2025,105675.37,104.0,386.0,102.2,4.64,173.0,1000.0,866.0,5,63.1,2353.0,5,0,25421,3.88,4,3.7115384615384617,273.77038860103625,0.42498937526561836,0.3680407989800255,0.04419889502762431,1,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
Model X,2023,43959.45,63.9,211.0,207.5,6.67,148.0,283.0,251.0,5,62.7,1838.0,3,2,124556,3.97,4,3.3020344287949923,208.33862559241706,0.15397170837867247,0.1365614798694233,0.034766050054406965,3,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Dolphin,2025,19398.19,79.6,255.0,104.3,7.87,125.0,165.0,200.0,5,71.9,1500.0,4,0,165718,3.4,4,3.203517587939699,76.07133333333333,0.11,0.13333333333333333,0.053066666666666665,1,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Explorer EV,2026,55828.42,47.5,163.0,69.0,5.68,167.0,570.0,527.0,5,22.3,1668.0,5,1,64449,3.39,5,3.431578947368421,342.5056441717791,0.34172661870503596,0.315947242206235,0.028477218225419664,0,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blazer EV,2025,55791.9,43.1,150.0,123.6,6.64,150.0,646.0,596.0,7,35.3,1903.0,5,2,16439,3.05,4,3.480278422273782,371.946,0.3394640042038886,0.3131897004729375,0.022648449816079875,1,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model 3,2025,151283.19,58.3,189.0,340.8,6.99,152.0,1000.0,918.0,5,36.7,1557.0,5,2,203592,3.49,5,3.2418524871355063,800.4401587301587,0.6422607578676943,0.5895953757225434,0.03744380218368658,1,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Qin,2024,54577.89,119.6,427.0,156.1,4.31,190.0,567.0,531.0,5,27.9,1638.0,5,0,139526,3.84,5,3.5702341137123748,127.81707259953161,0.34615384615384615,0.3241758241758242,0.073015873015873,2,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
ID. Buzz,2025,55247.47,53.5,199.0,114.4,5.73,170.0,459.0,410.0,5,34.4,1500.0,5,1,220284,3.29,4,3.7196261682242993,277.6254773869347,0.306,0.2733333333333333,0.035666666666666666,1,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Ioniq 6,2025,37922.42,50.5,150.0,65.4,6.36,155.0,325.0,323.0,5,68.6,1992.0,3,0,75225,3.06,5,2.9702970297029703,252.8161333333333,0.16315261044176707,0.16214859437751003,0.02535140562248996,1,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
EV9,2023,65534.18,84.3,248.0,57.6,5.04,176.0,708.0,642.0,5,56.5,1815.0,4,1,115671,3.43,4,2.9418742586002375,264.2507258064516,0.39008264462809916,0.3537190082644628,0.046446280991735533,3,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ID.3,2026,36867.62,42.0,175.0,63.1,6.92,148.0,259.0,233.0,7,67.1,1542.0,5,1,299992,3.38,4,4.166666666666667,210.6721142857143,0.16796368352788585,0.1511024643320363,0.027237354085603113,0,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Ioniq 6,2023,66319.66,72.9,225.0,110.9,7.63,134.0,766.0,617.0,7,77.2,1709.0,4,0,139935,3.2,3,3.0864197530864197,294.75404444444445,0.44821533060269164,0.361029842012873,0.04265652428320656,3,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Blazer EV,2026,47749.35,64.3,253.0,114.0,5.82,170.0,522.0,467.0,7,71.9,2378.0,5,0,11602,3.26,4,3.9346811819595646,188.73260869565217,0.21951219512195122,0.19638351555929354,0.027039529015979814,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model S,2025,75212.51,79.3,260.0,293.3,6.39,154.0,528.0,494.0,7,37.8,1513.0,5,3,148099,3.93,6,3.278688524590164,289.2788846153846,0.3489755452742895,0.32650363516192993,0.05241242564441507,1,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Atto 3,2025,87159.36,101.7,351.0,140.4,4.35,183.0,986.0,946.0,5,68.2,2527.0,3,1,204628,3.58,3,3.4513274336283186,248.31726495726497,0.39018599129402454,0.37435694499406413,0.04024535021764939,1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Bolt EUV,2021,44183.28,58.8,207.0,105.0,5.23,169.0,449.0,443.0,5,64.7,1615.0,5,0,22786,3.51,4,3.5204081632653064,213.44579710144927,0.27801857585139317,0.2743034055727554,0.03640866873065015,5,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
e-tron,2023,63313.85,56.2,189.0,110.0,6.71,138.0,298.0,281.0,5,72.2,1632.0,4,1,25175,3.27,6,3.3629893238434163,334.9939153439153,0.18259803921568626,0.1721813725490196,0.034436274509803924,3,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Kona Electric,2024,90974.8,80.4,296.0,119.4,4.7,179.0,1000.0,923.0,7,72.6,1741.0,4,0,59668,3.91,3,3.6815920398009947,307.3472972972973,0.5743825387708213,0.5301550832854681,0.04618035611717404,2,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Ioniq 5,2022,81725.25,71.7,234.0,189.2,3.79,197.0,1000.0,888.0,5,37.0,1500.0,5,1,72070,3.48,4,3.2635983263598325,349.25320512820514,0.6666666666666666,0.592,0.0478,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Model Y,2025,64135.13,97.7,359.0,226.7,5.4,171.0,471.0,372.0,5,37.5,1742.0,4,3,427732,4.21,4,3.674513817809621,178.64938718662953,0.2703788748564868,0.21354764638346727,0.0560849598163031,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
ID.4,2025,91483.89,74.2,246.0,206.1,3.02,199.0,1000.0,891.0,5,37.3,1500.0,4,1,206750,3.64,3,3.315363881401617,371.88573170731706,0.6666666666666666,0.594,0.049466666666666666,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
i30,2024,40685.58,66.5,247.0,65.0,6.33,159.0,381.0,313.0,7,18.5,1548.0,5,0,143645,3.36,4,3.7142857142857144,164.71894736842106,0.24612403100775193,0.20219638242894056,0.042958656330749356,2,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dolphin,2025,52144.09,43.5,150.0,82.6,5.11,178.0,572.0,578.0,7,15.2,1600.0,4,0,212512,3.12,3,3.4482758620689653,347.6272666666666,0.3575,0.36125,0.0271875,1,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Yuan Plus,2024,73962.43,41.7,163.0,108.8,5.83,163.0,867.0,753.0,5,18.4,1597.0,5,0,121424,3.25,3,3.9088729016786568,453.7572392638036,0.5428929242329368,0.4715090795241077,0.026111458985598,2,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ID.5,2023,62312.34,116.7,420.0,160.5,4.17,191.0,574.0,499.0,7,30.5,1792.0,4,0,298301,3.59,3,3.5989717223650386,148.36271428571428,0.3203125,0.27845982142857145,0.06512276785714285,3,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Model 3,2024,73678.26,106.1,370.0,204.7,4.74,177.0,505.0,433.0,5,29.7,1536.0,5,2,201869,3.99,5,3.4872761545711595,199.13043243243243,0.3287760416666667,0.2819010416666667,0.06907552083333333,2,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Leaf 50X,2021,32842.63,55.1,180.0,131.0,7.28,139.0,415.0,337.0,5,55.1,2155.0,4,1,173134,3.1,4,3.2667876588021776,182.45905555555555,0.1925754060324826,0.15638051044083526,0.025568445475638052,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Atto 3,2023,62874.95,71.7,262.0,179.3,3.15,200.0,691.0,603.0,5,38.9,1665.0,4,0,207361,3.74,4,3.6541143654114365,239.98072519083968,0.41501501501501503,0.3621621621621622,0.04306306306306307,3,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
Atto 3,2022,107436.09,65.7,255.0,124.5,7.71,137.0,1000.0,899.0,5,37.8,1887.0,5,1,201045,3.64,3,3.881278538812785,421.318,0.5299417064122947,0.4764175940646529,0.03481717011128776,4,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Model 3,2025,154568.94,68.0,235.0,285.7,5.02,170.0,1000.0,937.0,5,21.2,1756.0,5,3,245844,3.7,5,3.4558823529411766,657.740170212766,0.5694760820045558,0.5335990888382688,0.0387243735763098,1,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
e-tron,2024,62074.39,65.3,236.0,53.7,5.78,160.0,256.0,256.0,7,53.4,2242.0,5,2,41240,3.53,8,3.614088820826953,263.02707627118644,0.11418376449598573,0.11418376449598573,0.02912578055307761,2,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
EV6,2024,68316.17,76.4,262.0,155.3,3.88,189.0,785.0,658.0,7,23.8,1907.0,4,2,86275,3.61,3,3.4293193717277486,260.7487404580153,0.4116413214472994,0.3450445726271631,0.0400629260618773,2,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
iX,2023,98461.71,53.0,185.0,121.0,6.84,142.0,800.0,752.0,7,27.3,1509.0,5,2,22686,3.0,7,3.490566037735849,532.2254594594594,0.5301524188204109,0.4983432736911862,0.03512259774685222,3,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mustang Mach-E,2023,61500.69,61.2,209.0,73.0,6.01,154.0,616.0,524.0,7,15.4,1576.0,5,1,52208,3.39,4,3.415032679738562,294.2616746411483,0.39086294416243655,0.33248730964467005,0.03883248730964467,3,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Ioniq 6,2024,60164.53,53.1,185.0,61.2,7.06,146.0,673.0,592.0,7,41.7,1827.0,5,1,85467,3.29,5,3.4839924670433144,325.2136756756757,0.36836343732895455,0.3240284619594964,0.029064039408866996,2,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Model 3,2023,123171.93,71.8,246.0,208.4,6.3,150.0,907.0,860.0,5,24.7,1779.0,4,3,165942,3.71,5,3.4261838440111423,500.6989024390244,0.5098369870713885,0.4834176503653738,0.04035975267003935,3,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
i30,2024,35093.17,77.1,295.0,136.0,7.96,134.0,249.0,207.0,5,65.6,1663.0,4,2,117101,3.46,4,3.826199740596628,118.95989830508474,0.1497294046903187,0.12447384245339747,0.04636199639206253,2,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Niro EV,2021,101333.39,70.5,249.0,104.0,5.45,170.0,1000.0,846.0,5,71.2,1660.0,4,0,89918,3.29,4,3.5319148936170213,406.96140562248996,0.6024096385542169,0.5096385542168674,0.04246987951807229,5,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Blazer EV,2022,54305.64,86.4,289.0,121.7,5.96,162.0,669.0,612.0,5,66.9,1708.0,5,2,18445,3.56,4,3.344907407407407,187.90878892733565,0.3916861826697892,0.3583138173302108,0.05058548009367682,4,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
ID. Buzz,2025,58007.82,105.3,382.0,246.2,4.21,188.0,563.0,492.0,7,67.8,1781.0,3,0,241176,3.98,3,3.627730294396961,151.85293193717277,0.31611454239191467,0.27624929814710836,0.059124087591240874,1,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
Cybertruck,2024,188964.7,106.8,367.0,318.0,4.35,193.0,1000.0,912.0,7,67.4,2274.0,4,3,239165,4.27,5,3.4363295880149813,514.8901907356949,0.4397537379067722,0.40105540897097625,0.04696569920844327,2,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Leaf 50X,2025,33650.32,63.9,231.0,79.2,7.37,134.0,332.0,340.0,7,39.5,1698.0,4,1,210399,3.56,4,3.615023474178404,145.67238095238096,0.1955241460541814,0.20023557126030625,0.03763250883392226,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ID. Buzz,2023,31850.78,51.4,199.0,81.3,7.1,149.0,166.0,200.0,5,30.7,1500.0,5,0,272903,3.24,3,3.8715953307392996,160.05417085427135,0.11066666666666666,0.13333333333333333,0.03426666666666667,3,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
iX,2026,111337.67,83.1,295.0,73.5,5.59,167.0,1000.0,922.0,7,66.0,1641.0,4,1,20689,3.65,7,3.5499398315282793,377.4158305084746,0.6093845216331505,0.5618525289457648,0.050639853747714805,0,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sportage EV,2024,56593.19,56.2,197.0,62.4,5.24,170.0,590.0,549.0,5,55.4,2177.0,4,0,135755,3.26,4,3.505338078291815,287.275076142132,0.27101515847496555,0.2521819016995866,0.025815342214056042,2,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
ID.3,2024,71569.98,57.7,186.0,144.5,5.62,158.0,746.0,669.0,7,68.2,2030.0,5,1,287315,3.19,3,3.2235701906412477,384.7848387096774,0.367487684729064,0.3295566502463054,0.028423645320197047,2,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
Macan Electric,2023,139594.69,75.6,252.0,292.5,4.35,179.0,611.0,473.0,7,25.3,1829.0,3,0,9428,3.64,8,3.3333333333333335,553.9471825396826,0.33406232914160744,0.25861126298523784,0.04133406232914161,3,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Niro EV,2023,42128.98,66.6,226.0,79.4,6.82,145.0,371.0,263.0,7,33.2,1795.0,4,0,121472,3.23,4,3.3933933933933935,186.41141592920354,0.20668523676880224,0.14651810584958216,0.03710306406685236,3,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Seagull,2023,52361.13,60.0,186.0,121.5,7.42,142.0,534.0,449.0,7,32.1,1500.0,4,0,203886,3.06,3,3.1,281.5114516129032,0.356,0.29933333333333334,0.04,3,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cybertruck,2022,161513.5,115.3,420.0,223.7,2.54,200.0,1000.0,924.0,5,75.1,2605.0,4,2,172224,4.09,4,3.642671292281006,384.55595238095236,0.3838771593090211,0.3547024952015355,0.044261036468330135,4,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Model S,2025,99545.7,74.1,250.0,202.5,4.19,190.0,746.0,677.0,7,34.7,1588.0,4,2,244941,3.69,5,3.373819163292848,398.1828,0.46977329974811083,0.4263224181360202,0.0466624685138539,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Dolphin,2023,78664.3,82.8,301.0,145.4,6.95,137.0,845.0,776.0,5,74.0,2356.0,5,1,238674,3.59,4,3.635265700483092,261.34318936877077,0.35865874363327677,0.3293718166383701,0.03514431239388795,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Model Y,2022,75540.09,49.6,150.0,293.4,5.78,154.0,490.0,455.0,5,23.0,1503.0,5,2,455317,3.27,6,3.0241935483870965,503.6006,0.3260146373918829,0.302727877578177,0.033000665335994675,4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Model S,2025,135540.84,85.8,296.0,299.2,3.77,188.0,1000.0,854.0,5,61.5,2369.0,5,3,108193,3.98,5,3.44988344988345,457.90824324324325,0.42211903756859437,0.3604896580835796,0.03621781342338539,1,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Seagull,2024,24520.21,71.2,253.0,57.5,6.21,159.0,228.0,201.0,7,33.7,1739.0,5,1,191198,3.48,5,3.553370786516854,96.91782608695652,0.1311098332374928,0.11558366877515813,0.04094307073030477,2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Model Y,2026,113350.86,73.5,268.0,207.2,6.51,155.0,835.0,807.0,7,17.4,1500.0,5,2,463970,3.62,6,3.6462585034013606,422.95097014925375,0.5566666666666666,0.538,0.049,0,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Q6 e-tron,2025,80914.99,67.4,220.0,55.8,5.13,178.0,484.0,414.0,5,30.0,1500.0,5,1,22856,3.44,7,3.264094955489614,367.7954090909091,0.32266666666666666,0.276,0.04493333333333334,1,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Model X,2023,84447.94,72.5,255.0,322.2,3.35,200.0,602.0,569.0,5,36.6,1535.0,4,2,103295,3.51,6,3.5172413793103448,331.16839215686275,0.39218241042345275,0.3706840390879479,0.04723127035830619,3,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
Ioniq,2024,31858.49,76.6,274.0,140.3,5.5,171.0,286.0,243.0,7,24.0,1538.0,3,0,89552,3.4,5,3.5770234986945173,116.27186131386861,0.1859557867360208,0.15799739921976594,0.04980494148244473,2,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
ID.5,2025,70801.47,60.4,204.0,126.5,7.51,137.0,785.0,727.0,7,66.5,1837.0,5,0,299914,3.54,4,3.377483443708609,347.0660294117647,0.42732716385410996,0.39575394665215025,0.03287969515514426,1,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
4,2025,80679.27,41.3,155.0,112.6,5.25,170.0,456.0,427.0,5,33.2,1818.0,5,0,7428,3.03,4,3.7530266343825667,520.5114193548387,0.2508250825082508,0.23487348734873487,0.022717271727172715,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Model S,2025,29088.57,79.3,262.0,230.9,6.43,148.0,150.0,200.0,7,79.5,1535.0,5,2,173989,4.17,6,3.3039092055485497,111.02507633587786,0.09771986970684039,0.13029315960912052,0.05166123778501629,1,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
ID.3,2026,57231.82,83.1,283.0,81.4,4.75,170.0,586.0,546.0,7,69.5,1604.0,4,1,290062,3.77,4,3.4055354993983156,202.23257950530035,0.3653366583541147,0.3403990024937656,0.05180798004987531,0,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Ronin,2025,67039.1,75.0,271.0,92.9,7.99,127.0,473.0,448.0,7,30.8,1735.0,5,1,2336,3.5,5,3.6133333333333333,247.3767527675277,0.27262247838616716,0.25821325648414983,0.043227665706051875,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
EQG,2024,72880.75,63.7,235.0,106.4,7.57,133.0,273.0,269.0,5,69.4,2466.0,4,1,46123,3.85,5,3.6891679748822606,310.13085106382977,0.11070559610705596,0.10908353609083536,0.025831305758313057,2,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
E-Transit,2024,81884.76,79.5,280.0,54.3,7.91,134.0,950.0,893.0,5,22.8,1998.0,3,1,49332,3.58,4,3.5220125786163523,292.4455714285714,0.4754754754754755,0.4469469469469469,0.03978978978978979,2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Dolphin,2024,27229.19,64.8,227.0,133.2,7.27,144.0,326.0,301.0,5,28.0,1522.0,5,0,118103,3.49,4,3.5030864197530867,119.95237885462555,0.21419185282522996,0.19776609724047306,0.04257555847568988,2,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cybertruck,2022,39719.77,75.3,297.0,204.3,3.65,200.0,277.0,273.0,5,70.2,2610.0,5,2,220959,4.0,5,3.944223107569721,133.7365993265993,0.10613026819923371,0.10459770114942529,0.028850574712643677,4,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
i4,2024,83737.7,90.9,331.0,92.1,5.78,166.0,611.0,530.0,5,22.8,1527.0,4,2,68789,3.44,6,3.641364136413641,252.98398791540785,0.40013097576948264,0.3470857891290111,0.05952848722986248,2,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
R2,2025,104305.19,112.7,429.0,159.1,3.37,200.0,1000.0,875.0,7,29.3,1500.0,4,1,26219,4.08,6,3.8065661047027506,243.13564102564104,0.6666666666666666,0.5833333333333334,0.07513333333333333,1,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
EV6,2025,107335.21,101.2,372.0,208.4,3.71,187.0,1000.0,911.0,5,63.5,2775.0,5,0,56222,3.63,5,3.675889328063241,288.5355107526882,0.36036036036036034,0.32828828828828827,0.03646846846846847,1,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
